V1,AO_Liking,AO_Behavior,AO_Open,C2_Liking,C2_Behavior,C2_Open,C3_Liking,C3_Behavior,C3_Open,C4_Liking,C4_Behavior,C4_Open,C5_Liking,C5_Behavior,C5_Open,C6_Liking,C6_Behvavior,C6_Open,C7_Liking,C7_Behavior,C7_Open,IH,Villain,MAC,Distinctiveness,Consistency,Consensus,DistinctR,ConsistR,ConsenR,PConsensus1,PDistinct1,PConsist1,PConsensus2,PConsensus3,PDistinct2,PDistinct3,PConsist2,PConsist3,AttSpectrum,AttClosed,IntAtt1,IntAtt2,IntAtt3,IntAtt4,StimAtt1,StimAtt2,StimAtt3,CircAtt1,CircAtt2,CircAtt3,CharLike1,CharLike2,CharLike3,CharLike4,StoryLike1,StoryLike2,StoryLike3,StoryLike4,MoralDis1,MoralDis2,MoralDis3,MoralDis4,MoralDis5,Age,Ethnicity,Q102,Q104,Q105,Q106,Condition,Order
R_1BVDM3Jq5fecnYR,4.00,5.00,I know that he works with batman. Not sure if he is good or bad. The real agent orange is poison from WW1,6.00,6.00,Spiderman is good and can use his hands to climb walls and buildings,4.00,4.00,I do not know very much about Artemis.,6.00,3.00,Batman can sometimes be portrayed as a villain. Batwoman is his sidekick.,4.00,4.00,I do not know very much about Scarlet Witch,5.00,5.00,Wolverine appears in the batman movies. He is not evil.,4.00,4.00,I do not know very much about Static.,,,1,HD,HC,HS,1,1,1,2.00,6.00,6.00,6.00,5.00,6.00,6.00,2.00,6.00,7.00,2.00,6.00,6.00,7.00,7.00,7.00,6.00,7.00,7.00,7.00,7.00,6.00,5.00,6.00,5.00,6.00,6.00,6.00,5.00,5.00,6.00,6.00,2.00,3.00,19.00,1.00,2.00,1.00,1.00,2.00,MAC,HD/HC/HS
R_TttahV3DSjv9Yxr,4.00,4.00,nothing at all,7.00,6.00,I know he was bitten by a spider and that is how he gained his powers and that he loves Mary Jane,4.00,4.00,I don't know anything ,6.00,6.00,he has the batmobile and that when the city needs him they send out a distress light into the sky of a bat and he comes to help,5.00,4.00,I only know of the name not the character,6.00,6.00,He has a bit of a temper but his heart is usually in the right place and he wants to do good and help others,4.00,4.00,nothing at all,,,1,HD,HC,HS,1,1,1,5.00,6.00,2.00,2.00,5.00,7.00,7.00,2.00,5.00,5.00,2.00,5.00,5.00,6.00,6.00,5.00,3.00,4.00,2.00,2.00,3.00,4.00,4.00,4.00,5.00,3.00,5.00,4.00,3.00,3.00,3.00,5.00,2.00,5.00,18.00,1.00,2.00,1.00,2.00,,MAC,HD/HC/HS
R_1LNG3KJ1aKstU8x,4.00,4.00,he has the superpower and he is a hero. he can save the world and save the people ,5.00,5.00,"he is bited by a spider, and he has the superpower which come from the spider.he want to use his superpower to save the world and punish the bad guy.",4.00,4.00,I know nothing about her ,5.00,5.00,"he is rich and disabilites, and he want to save the world ",4.00,4.00,"she is a heroess, and she is very good at her superpower",4.00,4.00,I do not know him at all ,4.00,4.00,I do not know him at all ,,,1,HD,HC,HS,1,1,1,6.00,2.00,6.00,5.00,2.00,5.00,5.00,5.00,2.00,5.00,2.00,6.00,5.00,6.00,5.00,5.00,6.00,5.00,6.00,6.00,6.00,4.00,4.00,3.00,4.00,3.00,3.00,3.00,5.00,4.00,5.00,5.00,4.00,5.00,19.00,11.00,2.00,2.00,2.00,,MAC,HD/HC/HS
R_1kYPiXNfXYqyAR9,4.00,3.00,"I know that Agent Orange is some kind of man with super powers, could be a villain or could be a hero",6.00,7.00,"I know hat SpiderMan is Peter Parker, he can shoot webs out of his hands and can walk on walls and protects people of NYC",3.00,2.00,I know Artemis is a female. She looks angry in the picture do not know if she is good or bad.,7.00,6.00,I know that Batman is Bruce Wayne. He protects the city of Gotham from evil doers and has a batmobile,5.00,2.00,I know that Scarlet Witch is a female and is a witch. She could be a hero or a villain and she wears all red.,5.00,3.00,I know that Wolverine has blades that come out of his hands. He gets angry easily and can't control it. He is part of the X-Men,6.00,6.00,"I know that Static has super powers, I'm assuming he has electricity powers. He is a black man that wears a blue suit.",,,1,HD,HC,HS,1,1,1,2.00,6.00,6.00,2.00,6.00,6.00,6.00,2.00,6.00,6.00,2.00,6.00,6.00,7.00,7.00,6.00,6.00,5.00,2.00,2.00,5.00,3.00,2.00,4.00,4.00,6.00,6.00,6.00,6.00,5.00,5.00,4.00,2.00,6.00,21.00,1.00,1.00,3.00,1.00,2.00,MAC,HD/HC/HS
R_2WSkBzYm1DXAdid,6.00,6.00,hero,6.00,6.00,cool,6.00,6.00,beautiful,6.00,6.00,good for people,6.00,6.00,kind,6.00,6.00,honest,6.00,6.00,,,,1,HD,HC,HS,1,1,1,7.00,7.00,7.00,6.00,6.00,6.00,6.00,6.00,6.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,4.00,4.00,4.00,4.00,4.00,24.00,11.00,2.00,3.00,1.00,4.00,MAC,HD/HC/HS
R_3ea8SPbonFlVOm7,4.00,4.00,Absolutely nothing.,6.00,6.00,"Spider-Man is the alias of Peter Parker, who is a high school science whiz. Basically my knowledge of him comes from watching the movies. I know his Uncle Ben dies, as does his first girlfriend, Gwen Stacy. He fights various villains in New York City",4.00,4.00,I have never heard of this character,6.00,6.00,"Again, mostly everything i know is from the movies. I know Batman's real name is Bruce Wayne (I think). He was orphaned as a child. His sidekick is The Joker. He lives in Gotham and sends out a bat signal. He is a pretty cool guy. His butler's name is Alfred.",4.00,4.00,I know nothing,5.00,6.00,"I know wolverine is portrayed by Hugh Jackman in X-Man, and I believe he was a lab mistake and that's how he became wolverine. ",4.00,4.00,Who?,,,1,HD,HC,HS,1,1,1,3.00,7.00,5.00,3.00,5.00,7.00,6.00,2.00,3.00,5.00,2.00,2.00,3.00,5.00,4.00,7.00,7.00,6.00,4.00,3.00,5.00,4.00,2.00,4.00,5.00,2.00,4.00,3.00,2.00,5.00,6.00,2.00,1.00,4.00,20.00,1.00,2.00,3.00,1.00,2.00,MAC,HD/HC/HS
R_3oXZH8bKtirtgCw,5.00,4.00,The only thing I know about agent orange is what he looks like by the picture provided,6.00,6.00,"Spider man is a web slinging, crime fighting, super hero who saves the city from villans",4.00,4.00,I do not know anything about Artemis,5.00,6.00,Batman is a super powerless super hero who fights crime in Gothem City,3.00,2.00,"Scarlet Witch is a super villan, however I do not know who her super hero is. ",6.00,6.00,"Wolverine is part of the Xmen, a group of heroes who fight crime together. ",4.00,4.00,I'm not quite sure who static is.,,,1,HD,HC,HS,1,1,1,2.00,2.00,5.00,3.00,5.00,4.00,5.00,5.00,3.00,3.00,3.00,4.00,3.00,5.00,5.00,6.00,5.00,5.00,2.00,2.00,6.00,5.00,4.00,3.00,4.00,4.00,5.00,5.00,4.00,4.00,5.00,6.00,2.00,4.00,22.00,1.00,1.00,4.00,2.00,,MAC,HD/HC/HS
R_2pQaNeqg7OvdUJH,4.00,4.00,Nothing,7.00,7.00,Spider man is a super hero,4.00,4.00,Nothing,7.00,7.00,He is a super hero ,4.00,4.00,nothing,7.00,7.00,He is a hero,7.00,7.00,He's a hero,,,1,HD,HC,HS,1,1,1,5.00,5.00,6.00,4.00,6.00,6.00,6.00,6.00,6.00,4.00,2.00,4.00,6.00,7.00,6.00,6.00,6.00,5.00,5.00,4.00,6.00,7.00,7.00,6.00,6.00,6.00,5.00,5.00,2.00,5.00,6.00,4.00,1.00,5.00,19.00,2.00,1.00,2.00,2.00,,MAC,HD/HC/HS
R_3nSoSePQGT4xO5e,4.00,4.00,Literally nothing,7.00,7.00,I know he got bit by a spider and has super powers now and saves people,4.00,4.00,Literally nothing,7.00,7.00,He has a bat cave in gotham and saves people and has a cool voice,4.00,4.00,Literally nothing,7.00,7.00,Hes part of the Xmen and has long metal nails and saves people,4.00,4.00,Literally nothing,,,1,HD,HC,HS,1,1,1,3.00,3.00,2.00,7.00,5.00,5.00,5.00,2.00,5.00,5.00,2.00,7.00,6.00,7.00,7.00,7.00,7.00,3.00,1.00,5.00,7.00,1.00,1.00,6.00,6.00,1.00,1.00,1.00,1.00,5.00,7.00,7.00,1.00,7.00,19.00,1.00,1.00,1.00,2.00,,MAC,HD/HC/HS
R_31GHVdS3Rci2gOM,5.00,3.00,I really have no idea who Agent Orange is but based on his picture he looks to be villain type of character.,6.00,6.00,"Spider-Man is the superhero alter ego of Peter Parker. Peter developed his spiderlike powers after he was bitten by a experimental spider. Spider-Man's famous enemies were Doc Oc, Venom, and The Green Goblin.",5.00,3.00,She looks to to be rebellious and wild. Her smirk on her face looks like she is angry. ,7.00,6.00,"Batman is the superhero alter ego of Bruce Wayne, a billionaire with a complicated history. Batman is a vigilante style hero in the city of Gotham",5.00,2.00,Scarlet Witch looks to be able to have some kind of mind controlling power. She looks extremley powerful ,6.00,5.00,"Wolverine is a character who later joined the X-men for awhile. Wolverine's signature attribute are his ""claws"" which come out from his knuckles.",5.00,2.00,Static appears to have the power to control electricity. Having this power would render this person very powerful and deadly.,,,1,HD,HC,HS,1,1,1,1.00,5.00,6.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,6.00,5.00,5.00,5.00,4.00,3.00,2.00,5.00,5.00,2.00,3.00,2.00,5.00,6.00,5.00,6.00,2.00,5.00,6.00,3.00,5.00,20.00,1.00,1.00,3.00,1.00,2.00,MAC,HD/HC/HS
